#Sample	ModeDepth	MinFilter	MaxFilter
Microcebus_murinus_DLC_7160	39	13	78
Microcebus_murinus_PUB_0012	30	10	60
Microcebus_murinus_PUB_0013	28	9.333333333	56
Microcebus_ravelobensis_PUB_0033	5	1.666666667	10
Microcebus_tavaratra_PUB_0034	49	16.33333333	98
Mirza_zaza_DLC_0318	41	13.66666667	82
Mirza_zaza_DLC_0319	46	15.33333333	92
Mirza_zaza_DLC_0323	42	14	84
Mirza_zaza_PD_0163	56	18.66666667	112
Mirza_zaza_PD_0448	31	10.33333333	62
Prolemur_simus_PD_0166	43	14.33333333	86
Prolemur_simus_PUB_0017	21	7	42
Prolemur_simus_PUB_0018	13	4.333333333	26
Propithecus_coquereli_DLC_0597	47	15.66666667	94
Propithecus_coquereli_DLC_5944	44	14.66666667	88
Propithecus_coquereli_DLC_6110	48	16	96
Propithecus_coquereli_PD_1052	33	11	66
Propithecus_coquereli_PUB_0019	26	8.666666667	52
Propithecus_coquereli_PUB_0020	29	9.666666667	58
Propithecus_coquereli_PUB_0021	31	10.33333333	62
Propithecus_coquereli_PUB_0022	31	10.33333333	62
Propithecus_coquereli_PUB_0023	33	11	66
Propithecus_coronatus_PD_0167	36	12	72
Propithecus_diadema_DLC_6563	45	15	90
Propithecus_diadema_PD_0168	59	19.66666667	118
Propithecus_diadema_PD_0251	62	20.66666667	124
Propithecus_diadema_PUB_0024	31	10.33333333	62
Propithecus_diadema_PUB_0025	32	10.66666667	64
Propithecus_edwardsi_PD_0169	47	15.66666667	94
Propithecus_perrieri_PD_0170	46	15.33333333	92
Propithecus_perrieri_PD_0252	40	13.33333333	80
Propithecus_tattersalli_DLC_6196	48	16	96
Propithecus_tattersalli_DLC_6198	38	12.66666667	76
Propithecus_tattersalli_DLC_6254	48	16	96
Propithecus_tattersalli_DLC_6555	46	15.33333333	92
Propithecus_tattersalli_DLC_6556	44	14.66666667	88
Propithecus_tattersalli_PD_0171	42	14	84
Propithecus_tattersalli_PUB_0026	30	10	60
Propithecus_tattersalli_PUB_0027	30	10	60
Propithecus_verreauxi_PD_0172	41	13.66666667	82
Propithecus_verreauxi_PUB_0028	34	11.33333333	68
Varecia_rubra_DLC_0524	47	15.66666667	94
Varecia_rubra_DLC_5630	46	15.33333333	92
Varecia_rubra_DLC_6205	46	15.33333333	92
Varecia_rubra_DLC_6206	52	17.33333333	104
Varecia_sp_PD_0491	36	12	72
Varecia_variegata_DLC_0568	45	15	90
Varecia_variegata_DLC_0586	51	17	102
Varecia_variegata_DLC_1501	45	15	90
Varecia_variegata_PD_1041	3	1	6
